route_id,service_id,trip_id,trip_departure_time,trip_arrival_time,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
ACOS,entresemana,desde_sanluis_entresemana_18:30:00,18:30:00,19:50:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,desde_sanluis_entresemana_20:30:00,20:30:00,21:50:00,San José,,0,desde_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_05:30:00,05:30:00,6:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_06:10:00,06:10:00,7:30:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_07:00:00,07:00:00,8:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_07:30:00,07:30:00,8:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_08:10:00,08:10:00,9:30:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_09:30:00,09:30:00,10:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_11:30:00,11:30:00,12:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_12:05:00,12:05:00,13:25:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_13:15:00,13:15:00,14:35:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_13:45:00,13:45:00,15:05:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_14:00:00,14:00:00,15:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_14:20:00,14:20:00,15:40:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_15:00:00,15:00:00,16:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_15:40:00,15:40:00,17:00:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_16:00:00,16:00:00,17:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_16:20:00,16:20:00,17:40:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_16:45:00,16:45:00,18:05:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_17:00:00,17:00:00,18:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_17:15:00,17:15:00,18:35:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_17:30:00,17:30:00,18:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_17:50:00,17:50:00,19:10:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_18:00:00,18:00:00,19:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_18:15:00,18:15:00,19:35:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_18:30:00,18:30:00,19:50:00,San Luis,,1,hacia_sanluis,1,2
