trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
hacia_sangabriel_sabado_08:30:00,08:30:00,08:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_08:30:00,09:45:00,09:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_08:30:00,09:55:00,09:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_10:30:00,10:30:00,10:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_10:30:00,11:45:00,11:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_10:30:00,11:55:00,11:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_12:30:00,12:30:00,12:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_12:30:00,13:45:00,13:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_12:30:00,13:55:00,13:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_13:30:00,13:30:00,13:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_13:30:00,14:45:00,14:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_13:30:00,14:55:00,14:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_14:30:00,14:30:00,14:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_14:30:00,15:45:00,15:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_14:30:00,15:55:00,15:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_15:30:00,15:30:00,15:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_15:30:00,16:45:00,16:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_15:30:00,16:55:00,16:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_16:00:00,16:00:00,16:00:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_16:00:00,17:15:00,17:15:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_16:00:00,17:25:00,17:25:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_17:00:00,17:00:00,17:00:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_17:00:00,18:15:00,18:15:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_17:00:00,18:25:00,18:25:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_17:30:00,17:30:00,17:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_17:30:00,18:45:00,18:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_17:30:00,18:55:00,18:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_18:00:00,18:00:00,18:00:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_18:00:00,19:15:00,19:15:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_18:00:00,19:25:00,19:25:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_19:00:00,19:00:00,19:00:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_19:00:00,20:15:00,20:15:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_19:00:00,20:25:00,20:25:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_20:30:00,20:30:00,20:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_20:30:00,21:45:00,21:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_20:30:00,21:55:00,21:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_sabado_22:30:00,22:30:00,22:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_sabado_22:30:00,23:45:00,23:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_sabado_22:30:00,23:55:00,23:55:00,LM_1_07,3,,0,0,,0
desde_sangabriel_domingo_04:30:00,04:30:00,04:30:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_04:30:00,04:55:00,04:55:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_04:30:00,05:45:00,05:45:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_06:00:00,06:00:00,06:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_06:00:00,06:25:00,06:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_06:00:00,07:15:00,07:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_07:30:00,07:30:00,07:30:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_07:30:00,07:55:00,07:55:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_07:30:00,08:45:00,08:45:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_09:00:00,09:00:00,09:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_09:00:00,09:25:00,09:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_09:00:00,10:15:00,10:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_10:00:00,10:00:00,10:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_10:00:00,10:25:00,10:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_10:00:00,11:15:00,11:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_11:00:00,11:00:00,11:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_11:00:00,11:25:00,11:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_11:00:00,12:15:00,12:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_12:00:00,12:00:00,12:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_12:00:00,12:25:00,12:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_12:00:00,13:15:00,13:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_14:30:00,14:30:00,14:30:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_14:30:00,14:55:00,14:55:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_14:30:00,15:45:00,15:45:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_16:00:00,16:00:00,16:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_16:00:00,16:25:00,16:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_16:00:00,17:15:00,17:15:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_18:30:00,18:30:00,18:30:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_18:30:00,18:55:00,18:55:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_18:30:00,19:45:00,19:45:00,SJ_0_48,3,,0,0,,0
desde_sangabriel_domingo_20:00:00,20:00:00,20:00:00,SG_0_00,1,,0,0,,1
desde_sangabriel_domingo_20:00:00,20:25:00,20:25:00,SJ_0_00,2,,0,0,,0
desde_sangabriel_domingo_20:00:00,21:15:00,21:15:00,SJ_0_48,3,,0,0,,0
hacia_sangabriel_domingo_06:30:00,06:30:00,06:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_06:30:00,07:45:00,07:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_06:30:00,07:55:00,07:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_08:30:00,08:30:00,08:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_08:30:00,09:45:00,09:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_08:30:00,09:55:00,09:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_10:30:00,10:30:00,10:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_10:30:00,11:45:00,11:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_10:30:00,11:55:00,11:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_12:30:00,12:30:00,12:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_12:30:00,13:45:00,13:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_12:30:00,13:55:00,13:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_14:30:00,14:30:00,14:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_14:30:00,15:45:00,15:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_14:30:00,15:55:00,15:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_16:00:00,16:00:00,16:00:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_16:00:00,17:15:00,17:15:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_16:00:00,17:25:00,17:25:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_17:30:00,17:30:00,17:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_17:30:00,18:45:00,18:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_17:30:00,18:55:00,18:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_18:30:00,18:30:00,18:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_18:30:00,19:45:00,19:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_18:30:00,19:55:00,19:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_20:30:00,20:30:00,20:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_20:30:00,21:45:00,21:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_20:30:00,21:55:00,21:55:00,LM_1_07,3,,0,0,,0
hacia_sangabriel_domingo_22:30:00,22:30:00,22:30:00,SJ_1_00,1,,0,0,,1
hacia_sangabriel_domingo_22:30:00,23:45:00,23:45:00,SG_1_15,2,,0,0,,0
hacia_sangabriel_domingo_22:30:00,23:55:00,23:55:00,LM_1_07,3,,0,0,,0
desde_sanluis_entresemana_04:00:00,04:00:00,04:00:00,SI_0_00,1,,0,0,,1
desde_sanluis_entresemana_04:00:00,04:25:00,04:25:00,SJ_0_00,2,,0,0,,0
desde_sanluis_entresemana_04:00:00,05:15:00,05:15:00,SJ_0_48,3,,0,0,,0
desde_sanluis_entresemana_04:45:00,04:45:00,04:45:00,SI_0_00,1,,0,0,,1
desde_sanluis_entresemana_04:45:00,05:10:00,05:10:00,SJ_0_00,2,,0,0,,0
desde_sanluis_entresemana_04:45:00,06:00:00,06:00:00,SJ_0_48,3,,0,0,,0
desde_sanluis_entresemana_05:00:00,05:00:00,05:00:00,SI_0_00,1,,0,0,,1
desde_sanluis_entresemana_05:00:00,05:25:00,05:25:00,SJ_0_00,2,,0,0,,0
desde_sanluis_entresemana_05:00:00,06:15:00,06:15:00,SJ_0_48,3,,0,0,,0
desde_sanluis_entresemana_05:15:00,05:15:00,05:15:00,SI_0_00,1,,0,0,,1
desde_sanluis_entresemana_05:15:00,05:40:00,05:40:00,SJ_0_00,2,,0,0,,0
desde_sanluis_entresemana_05:15:00,06:30:00,06:30:00,SJ_0_48,3,,0,0,,0
desde_sanluis_entresemana_05:30:00,05:30:00,05:30:00,SI_0_00,1,,0,0,,1
desde_sanluis_entresemana_05:30:00,05:55:00,05:55:00,SJ_0_00,2,,0,0,,0
desde_sanluis_entresemana_05:30:00,06:45:00,06:45:00,SJ_0_48,3,,0,0,,0
desde_sanluis_entresemana_06:25:00,06:25:00,06:25:00,SI_0_00,1,,0,0,,1
desde_sanluis_entresemana_06:25:00,06:50:00,06:50:00,SJ_0_00,2,,0,0,,0
desde_sanluis_entresemana_06:25:00,07:40:00,07:40:00,SJ_0_48,3,,0,0,,0
desde_sanluis_entresemana_07:15:00,07:15:00,07:15:00,SI_0_00,1,,0,0,,1
desde_sanluis_entresemana_07:15:00,07:40:00,07:40:00,SJ_0_00,2,,0,0,,0
